NCM;DESCRICAO
01;Animais vivos.
0101;Cavalos, asininos e muares, vivos.
01012;- Cavalos:
01012100;-- Reprodutores de ra a pura
01012900;-- Outros
01013000;- Asininos
01019000;- Outros
0102;Animais vivos da esp cie bovina.
01022;- Bovinos dom sticos:
010221;-- Reprodutores de ra a pura
01022110;Prenhes ou com cria ao p
01022190;Outros
010229;-- Outros
0102291;Para reprodu  o
01022911;Prenhes ou com cria ao p
01022919;Outros
01022990;Outros
01023;- B falos:
010231;-- Reprodutores de ra a pura
01023110;Prenhes ou com cria ao p
01023190;Outros
010239;-- Outros
0102391;Para reprodu  o
01023911;Prenhes ou com cria ao p
01023919;Outros
01023990;Outros
01029000;- Outros
0103;Animais vivos da esp cie su na.
01031000;- Reprodutores de ra a pura
01039;- Outros:
01039100;-- De peso inferior a 50 kg
01039200;-- De peso igual ou superior a 50 kg
0104;Animais vivos das esp cies ovina e caprina.
010410;- Ovinos
0104101;Reprodutores de ra a pura
01041011;Prenhes ou com cria ao p
01041019;Outros
01041090;Outros
010420;- Caprinos
01042010;Reprodutores de ra a pura
01042090;Outros
0105;Aves da esp cie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das esp cies dom sticas, vivos.
01051;- De peso n o superior a 185 g:
010511;-- Aves da esp cie Gallus domesticus
01051110;De linhas puras ou h bridas, para reprodu  o
01051190;Outros
01051200;-- Peruas e perus
01051300;-- Patos
01051400;-- Gansos
01051500;-- Galinhas-d'angola (pintadas)
01059;- Outros:
01059400;-- Aves da esp cie Gallus domesticus
01059900;-- Outros
0106;Outros animais vivos.
01061;- Mam feros:
01061100;-- Primatas
01061200;"-- Baleias, golfinhos e botos (mam feros da ordem Cetacea); peixes-boi (manatins) e dugongos (mam feros da ordem Sirenia); ot rias e focas, le es-marinhos e morsas (mam feros da subordem Pinnipedia)"
01061300;-- Camelos e outros camel deos (Camelidae)
01061400;-- Coelhos e lebres
01061900;-- Outros
01062000;- R pteis (incluindo as serpentes e as tartarugas marinhas)
01063;- Aves:
01063100;-- Aves de rapina
01063200;-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)
010633;"-- Avestruzes; emus (Dromaius novaehollandiae)"
01063310;Avestruzes (Struthio camelus), para reprodu  o
01063390;Outros
01063900;-- Outras
01064;- Insetos:
01064100;-- Abelhas
01064900;-- Outros
01069000;- Outros
02;Carnes e miudezas, comest veis.
0201;Carnes de animais da esp cie bovina, frescas ou refrigeradas.
02011000;- Carca as e meias-carca as
020120;- Outras pe as n o desossadas
02012010;Quartos dianteiros
02012020;Quartos traseiros
02012090;Outras
02013000;- Desossadas
0202;Carnes de animais da esp cie bovina, congeladas.
02021000;- Carca as e meias-carca as
020220;- Outras pe as n o desossadas
02022010;Quartos dianteiros
02022020;Quartos traseiros
02022090;Outras
02023000;- Desossadas
0203;Carnes de animais da esp cie su na, frescas, refrigeradas ou congeladas.
02031;- Frescas ou refrigeradas:
02031100;-- Carca as e meias-carca as
02031200;-- Pernas, p s e respectivos peda os, n o desossados
02031900;-- Outras
02032;- Congeladas:
02032100;-- Carca as e meias-carca as
02032200;-- Pernas, p s e respectivos peda os, n o desossados
02032900;-- Outras
0204;Carnes de animais das esp cies ovina ou caprina, frescas, refrigeradas ou congeladas.
02041000;- Carca as e meias-carca as de cordeiro, frescas ou refrigeradas
02042;- Outras carnes de animais da esp cie ovina, frescas ou refrigeradas:
02042100;-- Carca as e meias-carca as
02042200;-- Outras pe as n o desossadas
02042300;-- Desossadas
02043000;- Carca as e meias-carca as de cordeiro, congeladas
02044;- Outras carnes de animais da esp cie ovina, congeladas:
02044100;-- Carca as e meias-carca as
02044200;-- Outras pe as n o desossadas
02044300;-- Desossadas
02045000;- Carnes de animais da esp cie caprina
02050000;Carnes de animais das esp cies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.
0206;Miudezas comest veis de animais das esp cies bovina, su na, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.
02061000;- Da esp cie bovina, frescas ou refrigeradas
02062;- Da esp cie bovina, congeladas:
02062100;-- L nguas
02062200;-- F gados
020629;-- Outras
02062910;Rabos
02062990;Outros
02063000;- Da esp cie su na, frescas ou refrigeradas
02064;- Da esp cie su na, congeladas:
02064100;-- F gados
02064900;-- Outras
02068000;- Outras, frescas ou refrigeradas
02069000;- Outras, congeladas
0207;Carnes e miudezas, comest veis, frescas, refrigeradas ou congeladas, das aves da posi  o 01.05.
02071;- De aves da esp cie Gallus domesticus:
02071100;-- N o cortadas em peda os, frescas ou refrigeradas
020712;-- N o cortadas em peda os, congeladas
02071210;Com miudezas
02071220;Sem miudezas
02071300;-- Peda os e miudezas, frescos ou refrigerados
020714;-- Peda os e miudezas, congelados
0207141;Peda os n o desossados
02071411;Peitos
02071412;Coxas com sobrecoxas
02071413;Asas
02071419;Outros
0207142;Peda os desossados
02071421;Peitos, coxas e sobrecoxas, formando uma s  pe a
02071422;Peitos
02071423;Coxas com sobrecoxas
02071424;Carne mecanicamente separada
02071429;Outros
0207143;Miudezas
02071431;F gados
02071432;Moelas
02071433;Cora  es
02071434;P s e patas
02071439;Outras
02072;- De peruas e de perus:
02072400;-- N o cortadas em peda os, frescas ou refrigeradas
02072500;-- N o cortadas em peda os, congeladas
02072600;-- Peda os e miudezas, frescos ou refrigerados
02072700;-- Peda os e miudezas, congelados
02074;- De patos:
02074100;-- N o cortadas em peda os, frescas ou refrigeradas
02074200;-- N o cortadas em peda os, congeladas
02074300;-- F gados gordos (foies gras), frescos ou refrigerados
02074400;-- Outras, frescas ou refrigeradas
02074500;-- Outras, congeladas
02075;- De gansos:
02075100;-- N o cortadas em peda os, frescas ou refrigeradas
02075200;-- N o cortadas em peda os, congeladas
02075300;-- F gados gordos (foies gras), frescos ou refrigerados
02075400;-- Outras, frescas ou refrigeradas
02075500;-- Outras, congeladas
02076000;- De galinhas-d'angola (pintadas)
0208;Outras carnes e miudezas comest veis, frescas, refrigeradas ou congeladas.
02081000;- De coelhos ou lebres
02083000;- De primatas
02084000;"- De baleias, golfinhos e botos (mam feros da ordem Cetacea); de peixes-boi (manatins) e dugongos (mam feros da ordem Sirenia); de ot rias e focas, le es-marinhos e morsas (mam feros da subordem Pinnipedia)"
02085000;- De r pteis (incluindo as serpentes e as tartarugas marinhas)
02086000;- De camelos e outros camel deos (Camelidae)
02089000;- Outras
0209;Toucinho sem partes magras, gorduras de porco e de aves, n o fundidas nem extra das de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).
020910;- De porco
0209101;Toucinho
02091011;Fresco, refrigerado ou congelado
02091019;Outros
0209102;Gordura
02091021;Fresca, refrigerada ou congelada
02091029;Outras
02099000;- Outros
0210;"Carnes e miudezas, comest veis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e p s, comest veis, de carnes ou de miudezas."
02101;- Carnes da esp cie su na:
02101100;-- Pernas, p s e respectivos peda os, n o desossados
02101200;-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus peda os
02101900;-- Outras
02102000;- Carnes da esp cie bovina
02109;- Outras, incluindo as farinhas e p s, comest veis, de carnes ou de miudezas:
02109100;-- De primatas
02109200;"-- De baleias, golfinhos e botos (mam feros da ordem Cetacea); de peixes-boi (manatins) e dugongos (mam feros da ordem Sirenia); de ot rias e focas, le es-marinhos e morsas (mam feros da subordem Pinnipedia)"
02109300;-- De r pteis (incluindo as serpentes e as tartarugas marinhas)
021099;-- Outras
0210991;Carnes de aves da posi  o 01.05
02109911;De galos e de galinhas
02109919;Outras
02109920;Carnes da esp cie ovina
02109930;Carnes da esp cie cavalar
02109940;Miudezas comest veis
02109990;Outras
03;Peixes e crust ceos, moluscos e outros invertebrados aqu ticos.
0301;Peixes vivos.
03011;- Peixes ornamentais:
030111;-- De  gua doce
03011110;Aruan  (Osteoglossum bicirrhosum)
03011190;Outros
03011900;-- Outros
03019;- Outros peixes vivos:
030191;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
03019110;Para reprodu  o
03019190;Outras
030192;-- Enguias (Anguilla spp.)
03019210;Para reprodu  o
03019290;Outras
030193;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)
03019310;Para reprodu  o
03019390;Outras
030194;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)
03019410;Para reprodu  o
03019490;Outras
030195;-- Atum-azul do sul (atum) (Thunnus maccoyii)
03019510;Para reprodu  o
03019590;Outros
030199;-- Outros
0301991;Para reprodu  o
03019911;"Til pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
03019912;Esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
03019919;Outros
0301999;Outros
03019991;"Til pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
03019992;Esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
03019999;Outros
0302;Peixes frescos ou refrigerados, exceto os fil s (filetes) de peixes e outra carne de peixes da posi  o 03.04.
03021;- Salmon deos, exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
03021100;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
03021300;-- Salm es-do-pac fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)
03021400;-- Salm o-do-atl ntico (Salmo salar) e salm o-do-dan bio (Hucho hucho)
03021900;-- Outros
03022;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
03022100;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)
03022200;-- Solha (Pleuronectes platessa)
03022300;-- Linguados (Solea spp.)
03022400;-- Pregado (Psetta maxima)
03022900;-- Outros
03023;- Atuns (do g nero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
03023100;-- Albacora-branca (atum) (Thunnus alalunga)
03023200;-- Albacora-laje (atum) (Thunnus albacares)
03023300;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
03023400;-- Albacora-bandolim (atum) (Thunnus obesus)
03023500;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)
03023600;-- Atum-azul do sul (atum) (Thunnus maccoyii)
03023900;-- Outros
03024;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do- ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xar us (Caranx spp.), bijupir  (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh o-do-jap o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
03024100;-- Arenques (Clupea harengus, Clupea pallasii)
030242;-- Anchovas (Biqueir es*) (Engraulis spp.)
03024210;Anchoita (Engraulis anchoita)
03024290;Outros
03024300;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (Sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus)
03024400;-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus)
03024500;-- Carapaus (Trachurus spp.)
03024600;-- Bijupir  (Cobia*) (Rachycentron canadum)
03024700;-- Espadarte (Xiphias gladius)
030249;-- Outros
03024910;Espadins, marlins, veleiros (Istiophoridae)
03024990;Outros
03025;- Peixes das fam lias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
03025100;-- Bacalhau-do-atl ntico (Gadus morhua), bacalhau-da-groel ndia (Gadus ogac) e bacalhau-do-pac fico (Gadus macrocephalus)
03025200;-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
03025300;-- Saithe (Escamudo*) (Pollachius virens)
03025400;-- Merluzas (Pescadas*) e abr teas (Merluccius spp., Urophycis spp.)
03025500;-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra chalcogramma)
03025600;-- Verdinhos (Micromesistius poutassou, Micromesistius australis)
03025900;-- Outros
