NCM;DESCRICAO
01;ANIMAIS VIVOS.
0101;CAVALOS, ASININOS E MUARES, VIVOS.
01012;- CAVALOS:
01012100;-- REPRODUTORES DE RA A PURA
01012900;-- OUTROS
01013000;- ASININOS
01019000;- OUTROS
0102;ANIMAIS VIVOS DA ESP CIE BOVINA.
01022;- BOVINOS DOM STICOS:
010221;-- REPRODUTORES DE RA A PURA
01022110;PRENHES OU COM CRIA AO P
01022190;OUTROS
010229;-- OUTROS
0102291;PARA REPRODU  O
01022911;PRENHES OU COM CRIA AO P
01022919;OUTROS
01022990;OUTROS
01023;- B FALOS:
010231;-- REPRODUTORES DE RA A PURA
01023110;PRENHES OU COM CRIA AO P
01023190;OUTROS
010239;-- OUTROS
0102391;PARA REPRODU  O
01023911;PRENHES OU COM CRIA AO P
01023919;OUTROS
01023990;OUTROS
01029000;- OUTROS
0103;ANIMAIS VIVOS DA ESP CIE SU NA.
01031000;- REPRODUTORES DE RA A PURA
01039;- OUTROS:
01039100;-- DE PESO INFERIOR A 50 KG
01039200;-- DE PESO IGUAL OU SUPERIOR A 50 KG
0104;ANIMAIS VIVOS DAS ESP CIES OVINA E CAPRINA.
010410;- OVINOS
0104101;REPRODUTORES DE RA A PURA
01041011;PRENHES OU COM CRIA AO P
01041019;OUTROS
01041090;OUTROS
010420;- CAPRINOS
01042010;REPRODUTORES DE RA A PURA
01042090;OUTROS
0105;AVES DA ESP CIE GALLUS DOMESTICUS, PATOS, GANSOS, PERUS, PERUAS E GALINHAS-D'ANGOLA (PINTADAS), DAS ESP CIES DOM STICAS, VIVOS.
01051;- DE PESO N O SUPERIOR A 185 G:
010511;-- AVES DA ESP CIE GALLUS DOMESTICUS
01051110;DE LINHAS PURAS OU H BRIDAS, PARA REPRODU  O
01051190;OUTROS
01051200;-- PERUAS E PERUS
01051300;-- PATOS
01051400;-- GANSOS
01051500;-- GALINHAS-D'ANGOLA (PINTADAS)
01059;- OUTROS:
01059400;-- AVES DA ESP CIE GALLUS DOMESTICUS
01059900;-- OUTROS
0106;OUTROS ANIMAIS VIVOS.
01061;- MAM FEROS:
01061100;-- PRIMATAS
01061200;"-- BALEIAS, GOLFINHOS E BOTOS (MAM FEROS DA ORDEM CETACEA); PEIXES-BOI (MANATINS) E DUGONGOS (MAM FEROS DA ORDEM SIRENIA); OT RIAS E FOCAS, LE ES-MARINHOS E MORSAS (MAM FEROS DA SUBORDEM PINNIPEDIA)"
01061300;-- CAMELOS E OUTROS CAMEL DEOS (CAMELIDAE)
01061400;-- COELHOS E LEBRES
01061900;-- OUTROS
01062000;- R PTEIS (INCLUINDO AS SERPENTES E AS TARTARUGAS MARINHAS)
01063;- AVES:
01063100;-- AVES DE RAPINA
01063200;-- PSITACIFORMES (INCLUINDO OS PAPAGAIOS, OS PERIQUITOS, AS ARARAS E AS CATATUAS)
010633;"-- AVESTRUZES; EMUS (DROMAIUS NOVAEHOLLANDIAE)"
01063310;AVESTRUZES (STRUTHIO CAMELUS), PARA REPRODU  O
01063390;OUTROS
01063900;-- OUTRAS
01064;- INSETOS:
01064100;-- ABELHAS
01064900;-- OUTROS
01069000;- OUTROS
02;CARNES E MIUDEZAS, COMEST VEIS.
0201;CARNES DE ANIMAIS DA ESP CIE BOVINA, FRESCAS OU REFRIGERADAS.
02011000;- CARCA AS E MEIAS-CARCA AS
020120;- OUTRAS PE AS N O DESOSSADAS
02012010;QUARTOS DIANTEIROS
02012020;QUARTOS TRASEIROS
02012090;OUTRAS
02013000;- DESOSSADAS
0202;CARNES DE ANIMAIS DA ESP CIE BOVINA, CONGELADAS.
02021000;- CARCA AS E MEIAS-CARCA AS
020220;- OUTRAS PE AS N O DESOSSADAS
02022010;QUARTOS DIANTEIROS
02022020;QUARTOS TRASEIROS
02022090;OUTRAS
02023000;- DESOSSADAS
0203;CARNES DE ANIMAIS DA ESP CIE SU NA, FRESCAS, REFRIGERADAS OU CONGELADAS.
02031;- FRESCAS OU REFRIGERADAS:
02031100;-- CARCA AS E MEIAS-CARCA AS
02031200;-- PERNAS, P S E RESPECTIVOS PEDA OS, N O DESOSSADOS
02031900;-- OUTRAS
02032;- CONGELADAS:
02032100;-- CARCA AS E MEIAS-CARCA AS
02032200;-- PERNAS, P S E RESPECTIVOS PEDA OS, N O DESOSSADOS
02032900;-- OUTRAS
0204;CARNES DE ANIMAIS DAS ESP CIES OVINA OU CAPRINA, FRESCAS, REFRIGERADAS OU CONGELADAS.
02041000;- CARCA AS E MEIAS-CARCA AS DE CORDEIRO, FRESCAS OU REFRIGERADAS
02042;- OUTRAS CARNES DE ANIMAIS DA ESP CIE OVINA, FRESCAS OU REFRIGERADAS:
02042100;-- CARCA AS E MEIAS-CARCA AS
02042200;-- OUTRAS PE AS N O DESOSSADAS
02042300;-- DESOSSADAS
02043000;- CARCA AS E MEIAS-CARCA AS DE CORDEIRO, CONGELADAS
02044;- OUTRAS CARNES DE ANIMAIS DA ESP CIE OVINA, CONGELADAS:
02044100;-- CARCA AS E MEIAS-CARCA AS
02044200;-- OUTRAS PE AS N O DESOSSADAS
02044300;-- DESOSSADAS
02045000;- CARNES DE ANIMAIS DA ESP CIE CAPRINA
02050000;CARNES DE ANIMAIS DAS ESP CIES CAVALAR, ASININA E MUAR, FRESCAS, REFRIGERADAS OU CONGELADAS.
0206;MIUDEZAS COMEST VEIS DE ANIMAIS DAS ESP CIES BOVINA, SU NA, OVINA, CAPRINA, CAVALAR, ASININA E MUAR, FRESCAS, REFRIGERADAS OU CONGELADAS.
02061000;- DA ESP CIE BOVINA, FRESCAS OU REFRIGERADAS
02062;- DA ESP CIE BOVINA, CONGELADAS:
02062100;-- L NGUAS
02062200;-- F GADOS
020629;-- OUTRAS
02062910;RABOS
02062990;OUTROS
02063000;- DA ESP CIE SU NA, FRESCAS OU REFRIGERADAS
02064;- DA ESP CIE SU NA, CONGELADAS:
02064100;-- F GADOS
02064900;-- OUTRAS
02068000;- OUTRAS, FRESCAS OU REFRIGERADAS
02069000;- OUTRAS, CONGELADAS
0207;CARNES E MIUDEZAS, COMEST VEIS, FRESCAS, REFRIGERADAS OU CONGELADAS, DAS AVES DA POSI  O 01.05.
02071;- DE AVES DA ESP CIE GALLUS DOMESTICUS:
02071100;-- N O CORTADAS EM PEDA OS, FRESCAS OU REFRIGERADAS
020712;-- N O CORTADAS EM PEDA OS, CONGELADAS
02071210;COM MIUDEZAS
02071220;SEM MIUDEZAS
02071300;-- PEDA OS E MIUDEZAS, FRESCOS OU REFRIGERADOS
020714;-- PEDA OS E MIUDEZAS, CONGELADOS
0207141;PEDA OS N O DESOSSADOS
02071411;PEITOS
02071412;COXAS COM SOBRECOXAS
02071413;ASAS
02071419;OUTROS
0207142;PEDA OS DESOSSADOS
02071421;PEITOS, COXAS E SOBRECOXAS, FORMANDO UMA S  PE A
02071422;PEITOS
02071423;COXAS COM SOBRECOXAS
02071424;CARNE MECANICAMENTE SEPARADA
02071429;OUTROS
0207143;MIUDEZAS
02071431;F GADOS
02071432;MOELAS
02071433;CORA  ES
02071434;P S E PATAS
02071439;OUTRAS
02072;- DE PERUAS E DE PERUS:
02072400;-- N O CORTADAS EM PEDA OS, FRESCAS OU REFRIGERADAS
02072500;-- N O CORTADAS EM PEDA OS, CONGELADAS
02072600;-- PEDA OS E MIUDEZAS, FRESCOS OU REFRIGERADOS
02072700;-- PEDA OS E MIUDEZAS, CONGELADOS
02074;- DE PATOS:
02074100;-- N O CORTADAS EM PEDA OS, FRESCAS OU REFRIGERADAS
02074200;-- N O CORTADAS EM PEDA OS, CONGELADAS
02074300;-- F GADOS GORDOS (FOIES GRAS), FRESCOS OU REFRIGERADOS
02074400;-- OUTRAS, FRESCAS OU REFRIGERADAS
02074500;-- OUTRAS, CONGELADAS
02075;- DE GANSOS:
02075100;-- N O CORTADAS EM PEDA OS, FRESCAS OU REFRIGERADAS
02075200;-- N O CORTADAS EM PEDA OS, CONGELADAS
02075300;-- F GADOS GORDOS (FOIES GRAS), FRESCOS OU REFRIGERADOS
02075400;-- OUTRAS, FRESCAS OU REFRIGERADAS
02075500;-- OUTRAS, CONGELADAS
02076000;- DE GALINHAS-D'ANGOLA (PINTADAS)
0208;OUTRAS CARNES E MIUDEZAS COMEST VEIS, FRESCAS, REFRIGERADAS OU CONGELADAS.
02081000;- DE COELHOS OU LEBRES
02083000;- DE PRIMATAS
02084000;"- DE BALEIAS, GOLFINHOS E BOTOS (MAM FEROS DA ORDEM CETACEA); DE PEIXES-BOI (MANATINS) E DUGONGOS (MAM FEROS DA ORDEM SIRENIA); DE OT RIAS E FOCAS, LE ES-MARINHOS E MORSAS (MAM FEROS DA SUBORDEM PINNIPEDIA)"
02085000;- DE R PTEIS (INCLUINDO AS SERPENTES E AS TARTARUGAS MARINHAS)
02086000;- DE CAMELOS E OUTROS CAMEL DEOS (CAMELIDAE)
02089000;- OUTRAS
0209;TOUCINHO SEM PARTES MAGRAS, GORDURAS DE PORCO E DE AVES, N O FUNDIDAS NEM EXTRA DAS DE OUTRO MODO, FRESCOS, REFRIGERADOS, CONGELADOS, SALGADOS OU EM SALMOURA, SECOS OU DEFUMADOS (FUMADOS).
020910;- DE PORCO
0209101;TOUCINHO
02091011;FRESCO, REFRIGERADO OU CONGELADO
02091019;OUTROS
0209102;GORDURA
02091021;FRESCA, REFRIGERADA OU CONGELADA
02091029;OUTRAS
02099000;- OUTROS
0210;"CARNES E MIUDEZAS, COMEST VEIS, SALGADAS OU EM SALMOURA, SECAS OU DEFUMADAS (FUMADAS); FARINHAS E P S, COMEST VEIS, DE CARNES OU DE MIUDEZAS."
02101;- CARNES DA ESP CIE SU NA:
02101100;-- PERNAS, P S E RESPECTIVOS PEDA OS, N O DESOSSADOS
02101200;-- TOUCINHOS ENTREMEADOS (BARRIGAS (ENTREMEADAS)*) E SEUS PEDA OS
02101900;-- OUTRAS
02102000;- CARNES DA ESP CIE BOVINA
02109;- OUTRAS, INCLUINDO AS FARINHAS E P S, COMEST VEIS, DE CARNES OU DE MIUDEZAS:
02109100;-- DE PRIMATAS
02109200;"-- DE BALEIAS, GOLFINHOS E BOTOS (MAM FEROS DA ORDEM CETACEA); DE PEIXES-BOI (MANATINS) E DUGONGOS (MAM FEROS DA ORDEM SIRENIA); DE OT RIAS E FOCAS, LE ES-MARINHOS E MORSAS (MAM FEROS DA SUBORDEM PINNIPEDIA)"
02109300;-- DE R PTEIS (INCLUINDO AS SERPENTES E AS TARTARUGAS MARINHAS)
021099;-- OUTRAS
0210991;CARNES DE AVES DA POSI  O 01.05
02109911;DE GALOS E DE GALINHAS
02109919;OUTRAS
02109920;CARNES DA ESP CIE OVINA
02109930;CARNES DA ESP CIE CAVALAR
02109940;MIUDEZAS COMEST VEIS
02109990;OUTRAS
03;PEIXES E CRUST CEOS, MOLUSCOS E OUTROS INVERTEBRADOS AQU TICOS.
0301;PEIXES VIVOS.
03011;- PEIXES ORNAMENTAIS:
030111;-- DE  GUA DOCE
03011110;ARUAN  (OSTEOGLOSSUM BICIRRHOSUM)
03011190;OUTROS
03011900;-- OUTROS
03019;- OUTROS PEIXES VIVOS:
030191;-- TRUTAS (SALMO TRUTTA, ONCORHYNCHUS MYKISS, ONCORHYNCHUS CLARKI, ONCORHYNCHUS AGUABONITA, ONCORHYNCHUS GILAE, ONCORHYNCHUS APACHE E ONCORHYNCHUS CHRYSOGASTER)
03019110;PARA REPRODU  O
03019190;OUTRAS
030192;-- ENGUIAS (ANGUILLA SPP.)
03019210;PARA REPRODU  O
03019290;OUTRAS
030193;-- CARPAS (CYPRINUS SPP., CARASSIUS SPP., CTENOPHARYNGODON IDELLUS, HYPOPHTHALMICHTHYS SPP., CIRRHINUS SPP., MYLOPHARYNGODON PICEUS, CATLA CATLA, LABEO SPP., OSTEOCHILUS HASSELTI, LEPTOBARBUS HOEVENI, MEGALOBRAMA SPP.)
03019310;PARA REPRODU  O
03019390;OUTRAS
030194;-- ATUNS-AZUIS (ATUNS) (THUNNUS THYNNUS, THUNNUS ORIENTALIS)
03019410;PARA REPRODU  O
03019490;OUTRAS
030195;-- ATUM-AZUL DO SUL (ATUM) (THUNNUS MACCOYII)
03019510;PARA REPRODU  O
03019590;OUTROS
030199;-- OUTROS
0301991;PARA REPRODU  O
03019911;"TIL PIAS (TILAPIA SPP., OREOCHROMIS SPP., SAROTHERODON SPP., DANAKILIA SPP.; SEUS H BRIDOS)"
03019912;ESTURJ ES (ACIPENSER BAERII, ACIPENSER GUELDENSTAEDTII, ACIPENSER PERSICUS, ACIPENSER STELLATUS)
03019919;OUTROS
0301999;OUTROS
03019991;"TIL PIAS (TILAPIA SPP., OREOCHROMIS SPP., SAROTHERODON SPP., DANAKILIA SPP.; SEUS H BRIDOS)"
03019992;ESTURJ ES (ACIPENSER BAERII, ACIPENSER GUELDENSTAEDTII, ACIPENSER PERSICUS, ACIPENSER STELLATUS)
03019999;OUTROS
0302;PEIXES FRESCOS OU REFRIGERADOS, EXCETO OS FIL S (FILETES) DE PEIXES E OUTRA CARNE DE PEIXES DA POSI  O 03.04.
03021;- SALMON DEOS, EXCETO SUBPRODUTOS COMEST VEIS DE PEIXES DAS SUBPOSI  ES 0302.91 A 0302.99:
